created_at,language,likes,retweets,text
2020-06-13 11:46:27,en,0.0,10846.0,"RT @TrumpWarRoom: WATCH: Joe Biden senior advisor says she “does not enjoy” being asked about Biden’s support for the 1994 crime bill. 

Bi…"
2020-06-13 11:46:03,en,0.0,7138.0,"RT @ErinMPerrine: #BarelyThereBiden has some shady folks on his VP list

Warren — lied about her heritage
Rice — lied about Russian collusi…"
2020-06-13 11:45:38,en,0.0,27885.0,RT @TeamTrump: There are three types of people... https://t.co/Zzl9jebV7c
2020-06-13 11:45:02,en,0.0,10754.0,RT @WhiteHouse: The greatest economy in history is coming back! 🇺🇸 https://t.co/Y5m3WdMaWj
2020-06-13 11:44:29,en,0.0,14983.0,"RT @DineshDSouza: The socialist Left, along with their allies in Antifa and in the mainstream media, seeks to beat us into submission.

But…"
2020-06-13 11:43:10,en,0.0,9334.0,RT @NickAdamsinUSA: Joe Biden is not okay. https://t.co/vE3zE248ja
2020-06-13 11:41:17,en,31918.0,7364.0,Thank you Nick. Hear the book is doing well (go get it everyone. Make this great writer number one!). https://t.co/SM7xBuuwPe
2020-06-13 11:36:58,en,109687.0,17358.0,Soon heading to West Point Graduation to give the Commencement Address. Will be shown live on @FoxNews plus. Enjoy!
2020-06-13 11:29:40,en,38183.0,10138.0,Concast is known for its terrible service. On top of that they provide FAKE NEWS on MSDNC &amp; @NBCNews. Drop them and… https://t.co/DAqJ0Dj4Kr
2020-06-13 11:23:42,en,0.0,6522.0,RT @cottensj: Texas is 100% Trump Country!
2020-06-13 11:22:21,en,44468.0,11806.0,We are getting the Commercial Fishing Industry in Maine back on track (will be better than ever) after suffering ye… https://t.co/6nLFPzSV3o
2020-06-13 11:15:33,en,52475.0,13621.0,Criminal Justice Reform. I got it done!!! https://t.co/HsaYwWuvUE
2020-06-13 11:14:08,en,0.0,6595.0,"RT @WhiteHouse: ""Opportunity Zones is more than just a program. 

It's more than just a concept. 

It is a mission."" —@ScottTurner45 https:…"
2020-06-13 11:13:53,en,0.0,6780.0,RT @JHorstman45: From @JaRonSmith45: “What the President is doing is listening to law enforcement &amp; stakeholders on both sides &amp; figuring o…
2020-06-13 11:12:58,en,0.0,4930.0,RT @MalloryBlount45: “People are looking for hope— something to unify this country. That’s exactly what this President is doing.” @JaRonSmi…
2020-06-13 11:12:10,en,57275.0,15589.0,Thank you Jack! https://t.co/i3h7Yd8nLG
2020-06-13 03:23:13,en,103669.0,17510.0,"...We have already had ticket requests in excess of 200,000 people. I look forward to seeing everyone in Oklahoma!"
